uid,name,type,programs,alternate_names
4694,GAMA'A AL-ISLAMIYYA,entity,SDGT,ISLAMIC GROUP; AL-GAMA'AT; ISLAMIC GAMA'AT; EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA
4695,HAMAS,entity,FTO; SDGT,ISLAMIC RESISTANCE MOVEMENT; HARAKAT AL-MUQAWAMA AL-ISLAMIYA; STUDENTS OF AYYASH; STUDENTS OF THE ENGINEER; YAHYA AYYASH UNITS; IZZ AL-DIN AL-QASSIM BRIGADES; IZZ AL-DIN AL-QASSIM FORCES; IZZ AL-DIN AL-QASSIM BATTALIONS; IZZ AL-DIN AL QASSAM BRIGADES; IZZ AL-DIN AL QASSAM FORCES; IZZ AL-DIN AL QASSAM BATTALIONS
4696,HARAKAT UL-MUJAHIDEEN,entity,FTO; SDGT,HARAKAT UL-ANSAR; HARAKAT UL-MUJAHIDIN; AL-FARAN; AL-HADID; AL-HADITH; JAMIAT UL-ANSAR; ANSAR-UL-UMMAH
4697,HIZBALLAH,entity,FTO; SDGT,PARTY OF GOD; ISLAMIC JIHAD; ISLAMIC JIHAD ORGANIZATION; REVOLUTIONARY JUSTICE ORGANIZATION; ORGANIZATION OF THE OPPRESSED ON EARTH; ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE; ORGANIZATION OF RIGHT AGAINST WRONG; ANSAR ALLAH; FOLLOWERS OF THE PROPHET MUHAMMED; LEBANESE HIZBALLAH; LEBANESE HEZBOLLAH; HIZBALLAH ESO; HIZBALLAH INTERNATIONAL; EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH
4700,KAHANE CHAI,entity,SDGT,REPRESSION OF TRAITORS; DIKUY BOGDIM; DOV; STATE OF JUDEA; COMMITTEE FOR THE SAFETY OF THE ROADS; SWORD OF DAVID; JUDEA POLICE; KAHANE LIVES; KFAR TAPUAH FUND; THE JUDEAN VOICE; FOREFRONT OF THE IDEA; THE QOMEMIYUT MOVEMENT; THE JUDEAN LEGION; THE WAY OF THE TORAH; THE YESHIVA OF THE JEWISH IDEA; KOACH; KACH; NEW KACH MOVEMENT; NEWKACH.ORG; KAHANE; YESHIVAT HARAV MEIR; THE INTERNATIONAL KAHANE MOVEMENT; KAHANE.ORG; JEWISH IDEA YESHIVA; KAHANETZADAK.COM; KAHANE TZADAK; THE HATIKVA JEWISH IDENTITY CENTER; THE RABBI MEIR DAVID KAHANE MEMORIAL FUND; THE JEWISH IDEA YESHIVA; FRIENDS OF THE JEWISH IDEA YESHIVA; JUDEAN CONGRESS; JEWISH LEGION; THE VOICE OF JUDEA; NO'AR MEIR; MEIR'S YOUTH; AMERICAN FRIENDS OF YESHIVAT RAV MEIR; AMERICAN FRIENDS OF THE UNITED YESHIVA; THE COMMITTEE AGAINST RACISM AND DISCRIMINATION
4702,KURDISTAN WORKERS' PARTY,entity,SDNTK; FTO; SDGT,PKK; PARTIYA KARKERAN KURDISTAN; THE PEOPLE'S DEFENSE FORCE; HALU MESRU SAVUNMA KUVVETI; FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN; KADEK; KURDISTAN FREEDOM AND DEMOCRACY CONGRESS; KURDISTAN PEOPLE'S CONGRESS; PEOPLE'S CONGRESS OF KURDISTAN; KONGRA-GEL; KGK
4703,LIBERATION TIGERS OF TAMIL EELAM,entity,FTO; SDGT,LTTE; TAMIL TIGERS; ELLALAN FORCE
4706,NATIONAL LIBERATION ARMY,entity,FTO; SDGT,ELN; EJERCITO DE LIBERACION NACIONAL
4707,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,entity,FTO; SDGT,PIJ-SHAQAQI FACTION; PIJ; ISLAMIC JIHAD IN PALESTINE; ISLAMIC JIHAD OF PALESTINE; ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS; PIJ-SHALLAH FACTION; PALESTINIAN ISLAMIC JIHAD; AL-QUDS SQUADS; SAYARA AL-QUDS; AL-QUDS BRIGADES; AL-AWDAH BRIGADES
4708,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,entity,FTO; SDGT,PALESTINE LIBERATION FRONT; PLF; PLF-ABU ABBAS
4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,entity,FTO; SDGT,PFLP; RED EAGLES; RED EAGLE GROUP; RED EAGLE GANG; HALHUL GANG; HALHUL SQUAD; PALESTINIAN POPULAR RESISTANCE FORCES; PPRF; MARTYR ABU-ALI MUSTAFA BATTALION
4710,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,entity,FTO; SDGT,PFLP-GC
4713,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,entity,FTO; SDGT,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI; DHKP/C; DEVRIMCI SOL; REVOLUTIONARY LEFT; DEV SOL; DEV SOL SILAHLI DEVRIMCI BIRLIKLERI; DEV SOL SDB; DEV SOL ARMED REVOLUTIONARY UNITS
4714,REVOLUTIONARY PEOPLE'S STRUGGLE,entity,SDGT,EPANASTATIKOS LAIKOS AGONAS; REVOLUTIONARY POPULAR STRUGGLE; POPULAR REVOLUTIONARY STRUGGLE; ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY; REVOLUTIONARY NUCLEI; REVOLUTIONARY CELLS; LIBERATION STRUGGLE
4715,SHINING PATH,entity,SDNTK; FTO; SDGT,SENDERO LUMINOSO; PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI); PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU); SOCORRO POPULAR DEL PERU; SPP; EJERCITO GUERRILLERO POPULAR; EGP; EJERCITO POPULAR DE LIBERACION; COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI; COMMUNIST PARTY OF PERU; PEOPLE'S AID OF PERU; PEOPLE'S GUERRILLA ARMY; PEOPLE'S LIBERATION ARMY
4717,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,entity,SDGT,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE; DFLP; RED STAR FORCES; RED STAR BATTALIONS
6365,"BIN LADIN, Usama bin Muhammad bin Awad",individual,SDGT,"BIN LADIN, Usama; BIN LADEN, Usama; BIN LADEN, Osama; BIN LADIN, Osama; BIN LADIN, Osama bin Muhammad bin Awad"
6366,AL QA'IDA,entity,FTO; SDGT,ISLAMIC SALVATION FOUNDATION; THE GROUP FOR THE PRESERVATION OF THE HOLY SITES; THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES; THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS; AL QAEDA; THE BASE; USAMA BIN LADEN NETWORK; USAMA BIN LADEN ORGANIZATION; AL QAIDA; INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES; ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES; AL-JIHAD; EGYPTIAN AL-JIHAD; EGYPTIAN ISLAMIC JIHAD; NEW JIHAD; THE JIHAD GROUP; ISLAMIC ARMY
6367,"AL-MASRI, Abu Hafs",individual,SDGT,"ABDULLAH, Sheikh Taysir; ATEF, Muhammad; EL KHABIR, Abu Hafs el Masry; ATIF, Muhammad; ABU SITTA, Subhi; ATIF, Mohamed"
6368,"MUSA, Rifa'i Ahmad Taha",individual,SDGT,"ABD-AL-WAHAB, Abd-al-Hai Ahmad; 'ABD ALLAH, 'Issam 'Ali Muhammad; AL-KAMEL, Salah 'Ali; TAHA MUSA, Rifa'i Ahmad; THABIT 'IZ"
6635,"OMAR, Mohammed",individual,SDGT,
6636,TALIBAN,entity,SDGT,ISLAMIC MOVEMENT OF TALIBAN; TAHRIKE ISLAMI'A TALIBAN; TALEBAN; TALIBAN ISLAMIC MOVEMENT; TALIBANO ISLAMI TAHRIK
6703,"AMEZCUA CONTRERAS, Jose de Jesus",individual,SDNTK,"AMESCUA, Chuey; AMEZCUA, Chuy; AMEZCUA CONTRERAS, Jesus; AMEZCUA, Jose de Jesus; HERNANDEZ, Adan"
6704,"AMEZCUA CONTRERAS, Luis Ignacio",individual,SDNTK,"AMEZCUA, Luis; CONTRERAS, Luis C.; LOPEZ, Luis; LOZANO, Eduardo; OCHOA, Salvador; RODRIGUEZ LOPEZ, Sergio"
6706,"ARELLANO FELIX, Ramon Eduardo",individual,SDNTK,"COMACHO RODRIGUES, Gilberto; TORRES MENDEZ, Ramon"
6707,"CARO QUINTERO, Rafael",individual,SDNTK,"CARO QUINTERO, Raphael"
6708,"CARRILLO FUENTES, Vicente",individual,SDNTK,"CARRILLO FUENTES, Andres"
6709,"CHANG, Chi Fu",individual,SDNTK,"KHUN SA; CHAN, Changtrakul; CHANG, Shi-Fu; CHANG, Xifu; CHANGTRAKUL, Chan"
6710,"HEATH, Noel Timothy",individual,SDNTK,"ZAMBA, Noel Heath; ZAMBO, Noel Heath"
6712,"OGUNGBUYI, Oluwole A.",individual,SDNTK,"ADEMULERO, Babestan Oluwole; BABESTAN, Wole A.; OGUNGBUYI, Wally; OGUNGBUYI, Wole A.; SHOFESO, Olatude I.; SHOFESO, Olatunde Irewole"
6713,"OGUNGBUYI, Abeni O.",individual,SDNTK,"BABESTAN, Abeni O.; SHOFESO, Olatutu Temitope"
6714,"WEI, Hsueh Kang",individual,SDNTK,"CHARNCHAI, Chiwinnitipanya; CHIVINNITIPANYA, Prasit; CHIWINNITIPANYA, Charnchai; PRASIT, Chivinnitipanya; PRASIT, Cheewinnittipanya; WEI, Shao-Kang; WEI, Sia-Kang; WEI, Xuekang; CHEEWINNITTIPANYA, Prasit"
6715,"ARELLANO FELIX, Benjamin Alberto",individual,SDNTK,
6717,"HENAO MONTOYA, Arcangel de Jesus",individual,SDNT,
6719,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,entity,SDNT,
6720,COMPANIA AGROINVERSORA HENAGRO LTDA.,entity,SDNT,
6721,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,entity,SDNT,
6722,MAQUINARIA TECNICA Y TIERRAS LTDA.,entity,SDNT,M.T.T. LTDA.
6723,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,entity,SDNT,
6724,"GONZALEZ BENITEZ, Olga Patricia",individual,SDNT,
6725,ISLAMIC MOVEMENT OF UZBEKISTAN,entity,FTO; SDGT,
6823,"PATINO FOMEQUE, Victor Julio",individual,SDNT,"PATINO FOMEQUE, Victor Hugo"
6824,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,entity,SDNT,INPESCA S.A.
6826,GALAPAGOS S.A,entity,SDNT,
6831,"DUQUE BOTERO, Jorge Alirio",individual,SDNT,
6853,NEW IRISH REPUBLICAN ARMY,entity,FTO; SDGT,REAL IRISH REPUBLICAN ARMY; 32 COUNTY SOVEREIGNTY COMMITTEE; 32 COUNTY SOVEREIGNTY MOVEMENT; REAL OGLAIGH NA HEIREANN; IRISH REPUBLICAN PRISONERS WELFARE ASSOCIATION; IRA ARMY COUNCIL
6856,"AFGHAN, Sher",individual,SDNTK,"AFGHAN, Shir; KHAN, Abdullah; AZIZ, Mohammad; AFGHAN, Shear"
6857,"CARDENAS GUILLEN, Osiel",individual,SDNTK,"CARDENAS GULLEN, Osiel; CARDENAS CASTILLO, Osiel; CARDENAS GILLEN, Osiel; CARDENAS GUILLEN, Ociel; CARDENAS GUILLEN, Oscar; CARDENAS GUILLEN, Oziel; CARDENAS TUILLEN, Osiel; SALINA AGUILAR, Jorge; SALINAS AGUILAR, Jorge"
6858,"CARO QUINTERO, Miguel Angel",individual,SDNTK,
6859,"CHANG, Ping Yun",individual,SDNTK,"KHUN, Saeng"
6860,"GILBOA, Joseph",individual,SDNTK,"GILBOA, Yosef; GILBOA, Joseph Papzian; GILBERT, Joseph; GIL, Josef"
6861,"GUZMAN LOERA, Joaquin",individual,SDNTK,"AREGON, Max; GUZMAN, Chapo; GUIERREZ LOERA, Jose Luis; GUZMAN FERNANDEZ, Joaquin; GUZMAN LOESA, Joaquin; GUZMAN PADILLA, Joaquin; GUMAN LOERAL, Joaquin; GUZMAN, Archibaldo; GUZMAN, Aureliano; ORTEGA, Miguel; RAMIREZ, Joise Luis; CARO RODRIGUEZ, Gilberto; GUZMAN, Joaquin Chapo; GUZMAN LOREA, Chapo; GUZMAN LOEIA, Joaguin; GUZMAN, Achivaldo; OSUNA, Gilberto; RAMOX PEREZ, Jorge"
6862,"HAMIEH, Jamiel",individual,SDNTK,"HAMIAH, Jamiel; HAMEIAH, Jamel; HAMEIAH, Mamil; HAMEIH, Jamill; HAMIAEH, Jamil; HAMIE, Jamil Abdulkarim; HAMIEAH, Jamiel; HAMEIAH, Jamil; HAMEIEH, Jamil; HAMER, Jamil; HAMIE, Jamil; HAMIE, Jamile; HAMIEAH, Jamil; HAMIEH, Jamal; HAMIEH, Jamil; HAMIEL, Jamil; HAMIEYYEH, Jamil; HAMIYA, Abdul Jamil; HAMIYYAH, Jamil; HAMYH, Jamil; KARIM, Jamil Abdul; NEZAM, Abu; HAMIEH, Mamil; HAMIEYE, Jamil; HAMIL, Jamil; HAMIYE, Jamil; HAMIYYEH, Jamil; NAZIM, Abou; NIZAM, Abou"
6863,"HIGUERA GUERRERO, Ismael",individual,SDNTK,
6864,"KHAN, Nasir Ali",individual,SDNTK,"KHAN, Ali; KHAN, Nafir Ali; KHAN, Nazir Ali; KHAN, Nisan Ali; KHAN, Nisar Ali; NASIR, Ali Khan; NASIR, Khan Ali"
6865,"MALHERBE DE LEON, Oscar",individual,SDNTK,"BECERRA, Martin; BECERRA MIRELES, Martin; MACHERBE, Oscar; MAHLERBE, Oscar; MALARBE, Oscar; MALERHBE DE LEON, Oscar; MALHARBE DE LEON, Oscar; MALHERBE DELEON, Oscar; MALMERBE, Oscar; MELARBE, Oscar; QALHARBE DE LEON, Oscar; MAHERBE, Oscar; MAHLERBE, Polo; MALERBE, Oscar; MALERVA, Oscar; NALHERBE, Oscar; VARGAS, Jorge"
6866,"RAMON MAGANA, Alcides",individual,SDNTK,"ALCIDES MAGANA, Ramon; ALCIDEZ MAGANA, Ramon; ALCIDES MAYENA, Ramon; MAGNA ALCIDEDES, Ramon; ALCIDES MAGANE, Ramon; ROMERO, Antonio; GONZALEZ QUIONES, Jorge; MAGANA, Jorge; MAGANA ALCIDES, Ramon; MATA, Alcides; RAMON MAGANA, Alcedis"
6895,UNITED SELF-DEFENSE FORCES OF COLOMBIA,entity,SDNTK; SDGT,AUTODEFENSAS UNIDAS DE COLOMBIA; AUC
6896,ASBAT AL-ANSAR,entity,FTO; SDGT,
6897,SALAFIST GROUP FOR CALL AND COMBAT,entity,FTO; SDGT,GSPC; LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT; SALAFIST GROUP FOR PREACHING AND COMBAT; AL-QA'IDA IN THE ISLAMIC MAGHREB; AQIM; TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA
6898,LIBYAN ISLAMIC FIGHTING GROUP,entity,SDGT,
6899,AL-ITIHAAD AL-ISLAMIYA,entity,SDGT,AIAI
6900,ISLAMIC ARMY OF ADEN,entity,SDGT,
6901,"AL-ADL, Sayf",individual,SDGT,"AL-'ADIL, Saif"
6903,"AL-WALID, Mahfouz Ould",individual,SDGT,"AL-SHANQITI, Khalid; AL-WALID, Mafouz Walad"
6905,"HUSAYN, Zayn al-Abidin Muhammad",individual,SDGT,"HUSAIN, Zain Al-Abidin Muhammad; HUSSEIN, Zayn al-Abidin Muhammad; ABU ZUBEIDAH, Zeinulabideen Muhammed Husein"
6906,"AL-IRAQI, Abd al-Hadi",individual,SDGT,"AL-IRAQI, Abdal al-Hadi"
6907,"SHIHATA, Thirwat Salah",individual,SDGT,"ABDALLAH, Tarwat Salah; THIRWAT, Shahata; THIRWAT, Salah Shihata"
6908,"AHMAD, Tariq Anwar al-Sayyid",individual,SDGT,"FATHI, Amr Al-Fatih; FARAG, Hamdi Ahmad"
6910,MAKHTAB AL-KHIDAMAT/AL KIFAH,entity,SDGT,
6911,WAFA HUMANITARIAN ORGANIZATION,entity,SDGT,AL WAFA; AL WAFA ORGANIZATION; WAFA AL-IGATHA AL-ISLAMIA
6912,AL RASHID TRUST,entity,SDGT,AL RASHEED TRUST; AL-RASHID TRUST; AL-RASHEED TRUST; AL AMIN WELFARE TRUST; AL AMIN TRUST; AL AMEEN TRUST; AL-AMEEN TRUST; AL MADINA TRUST; AL-MADINA TRUST; MAYMAR TRUST; MAIMAR TRUST; MOMAR TRUST; MEYMAR TRUST
6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,entity,SDGT,DARKAZANLI COMPANY; DARKAZANLI EXPORT-IMPORT SONDERPOSTEN
6915,"ABDULLAH, Abdullah Ahmed",individual,SDGT,"AL-MASRI, Abu Mohamed"
6916,"ALI, Ahmed Mohammed Hamed",individual,SDGT,"ABDUREHMAN, Ahmed Mohammed; AHMED, Ahmed; ALI, Hamed; ALI, Ahmed Mohammed; AL-MASRI, Ahmad; AL-SURIR, Abu Islam; HEMED, Ahmed; SHIEB, Ahmed"
6918,"AL-MUGHASSIL, Ahmad Ibrahim",individual,SDGT,"AL-MUGHASSIL, Ahmed Ibrahim"
6919,"AL-NASSER, Abdelkarim Hussein Mohamed",individual,SDGT,
6920,"AL-YACOUB, Ibrahim Salih Mohammed",individual,SDGT,
6921,"ATWA, Ali",individual,SDGT,"BOUSLIM, Ammar Mansour; SALIM, Hassan Rostom"
6923,"EL-HOORIE, Ali Saed Bin Ali",individual,SDGT,"AL-HOURI, Ali Saed Bin Ali; EL-HOURI, Ali Saed Bin Ali"
6924,"FADHIL, Mustafa Mohamed",individual,SDGT,"ELBISHY, Moustafa Ali; MOHAMMED, Mustafa; FAZUL, Mustafa; FADIL, Mustafa Muhamad; AL MASRI, Abd Al Wakil; ALI, Hassan; MAN, Nu; JIHAD, Abu; AL-NUBI, Abu"
6925,"GHAILANI, Ahmed Khalfan",individual,SDGT,"GHILANI, Ahmad Khalafan; AHMED, Ahmed Khalfan; AHMED, Abubakar K.; AHMED, Abubakary K.; AHMED, Abubakar; AHMAD, Abu Bakr; KHALFAN, Ahmed; ALI, Ahmed Khalfan; AHMED, Abubakar Khalfan; GHAILANI, Ahmed; AL TANZANI, Ahmad; GHAILANI, Abubakary Khalfan Ahmed; HUSSEIN, Mahafudh Abubakar Ahmed Abdallah; MOHAMMED, Shariff Omar"
6926,"IZZ-AL-DIN, Hasan",individual,SDGT,"SALWWAN, Samir"
6927,"MOHAMMED, Fazul Abdullah",individual,SDGT,"FAZUL, Abdallah; FAZUL, Abdalla; FAZUL, Abdallah Mohammed; MOHAMMED, Fazul Abdilahi; ADBALLAH, Fazul; ABDALLA, Fazul; MOHAMMED, Fazul; FAZUL, Haroon; FAZUL, Harun; MUHAMAD, Fadil Abdallah; HAROUN, Fadhil; AISHA, Abu; LUQMAN, Abu; ALI, Fadel Abdallah Mohammed; MOHAMMED, Fouad"
6928,"MOHAMMED, Khalid Shaikh",individual,SDGT,
6931,"YASIN, Abdul Rahman",individual,SDGT,"YASIN, Abdul Rahman Said; YASIN, Aboud; TAHA, Abdul Rahman S.; TAHER, Abdul Rahman S."
6932,AL-HAMATI SWEETS BAKERIES,entity,SDGT,
6935,JAISH-I-MOHAMMED,entity,FTO; SDGT,ARMY OF MOHAMMED; MOHAMMED'S ARMY; TEHRIK UL-FURQAAN; JAISH-E-MOHAMMED; KHUDAMUL ISLAM; KHUDDAM-UL-ISLAM; KUDDAM E ISLAMI
6936,JAM'YAH TA'AWUN AL-ISLAMIA,entity,SDGT,SOCIETY OF ISLAMIC COOPERATION; JAM'IYAT AL TA'AWUN AL ISLAMIYYA; JIT
6937,RABITA TRUST,entity,SDGT,
6938,"AGHA, Haji Abdul Manan",individual,SDGT,"SAIYID, Abd Al-Man'am"
6939,"AL-AHDAL, Mohammad Hamdi Mohammad Sadiq",individual,SDGT,"AL-HAMATI, Muhammad; AL-AHDAL, Muhammad Muhummad Abdullah; AL-AHDAL, Mohamed Mohamed Abdullah"
6940,"AL-HAQ, Amin",individual,SDGT,"AMIN, Muhammad; AH HAQ, Dr. Amin; UL-HAQ, Dr. Amin"
6941,"HAMDAN, Salim Ahmad Salim",individual,SDGT,"AL-JADAWI, Saqar; AL-JADDAW, Saqr"
6944,"AL-SHARIF, Sa'd Abdullah Hussein",individual,SDGT,
